Time,Airport,Altamount,Vashi,Virar
27,38.2,48.1,18.3,85.6
28,38.2,48.1,18.3,85.6
29,38.2,48.1,18.3,85.6
20,38.1,48,17.8,85.6
21,38.1,48,17.8,85.6
22,38.1,48,17.8,85.6
23,38.1,48,17.8,85.6
24,38.1,48,17.8,85.6
25,38.1,48,17.8,85.6
26,38.1,48,17.8,85.6
27,38.1,48,17.8,85.6
28,38.1,48,17.8,85.6
29,38.1,48,17.8,85.6
27,22.3,32.2,0.75,71.5
28,22.3,32.2,0.75,71.5
29,22.3,32.2,0.75,71.5
20,38.3,48.2,18.4,85.7
21,38.3,48.2,18.4,85.7
22,38.3,48.2,18.4,85.7
23,38.3,48.2,18.4,85.7
24,38.3,48.2,18.4,85.7
25,38.3,48.2,18.4,85.7
26,38.3,48.2,18.4,85.7
27,38.3,48.2,18.4,85.7
28,38.3,48.2,18.4,85.7
29,38.3,48.2,18.4,85.7
20,34.8,44.7,14.9,76.4
21,34.8,44.7,14.9,76.4
23,34.8,44.7,14.9,76.4
24,34.8,44.7,14.9,76.4
25,34.8,44.7,14.9,76.4
26,34.8,44.7,14.9,76.4
27,34.8,44.7,14.9,76.4
28,34.8,44.7,14.9,76.4
29,34.8,44.7,14.9,76.4
26,38.2,48.1,18.3,85.6
27,38.2,48.1,18.3,85.6
28,38.2,48.1,18.3,85.6
29,38.2,48.1,18.3,85.6
20,35.4,45.3,15.5,76.3
21,35.4,45.3,15.5,76.3
22,35.4,45.3,15.5,76.3
23,35.4,45.3,15.5,76.3
24,35.4,45.3,15.5,76.3
25,35.4,45.3,15.5,76.3
26,35.4,45.3,15.5,76.3
27,35.4,45.3,15.5,76.3
28,35.4,45.3,15.5,76.3
29,35.4,45.3,15.5,76.3
20,36.3,46.2,16,83.7
23,36.3,46.2,16,83.7
24,36.3,46.2,16,83.7
25,36.3,46.2,16,83.7
26,36.3,46.2,16,83.7
27,36.3,46.2,16,83.7
28,36.3,46.2,16,83.7
29,36.3,46.2,16,83.7
25,28.7,38.6,8.8,76.1
26,28.7,38.6,8.8,76.1
27,28.7,38.6,8.8,76.1
29,28.7,38.6,8.8,76.1
23,20,34.8,12.7,56.5
24,20,34.8,12.7,56.5
25,20,34.8,12.7,56.5
26,20,34.8,12.7,56.5
27,20,34.8,12.7,56.5
28,20,34.8,12.7,56.5
29,20,34.8,12.7,56.5
26,30.5,40.4,11.4,78
28,30.5,40.4,11.4,78
29,30.5,40.4,11.4,78
22,37.5,47.3,17.5,84.9
23,37.5,47.3,17.5,84.9
24,37.5,47.3,17.5,84.9
25,37.5,47.3,17.5,84.9
26,37.5,47.3,17.5,84.9
27,37.5,47.3,17.5,84.9
28,37.5,47.3,17.5,84.9
29,37.5,47.3,17.5,84.9
20,35.2,45.1,15.5,77.2
21,35.2,45.1,15.5,77.2
22,35.2,45.1,15.5,77.2
23,35.2,45.1,15.5,77.2
24,35.2,45.1,15.5,77.2
25,35.2,45.1,15.5,77.2
26,35.2,45.1,15.5,77.2
27,35.2,45.1,15.5,77.2
28,35.2,45.1,15.5,77.2
29,35.2,45.1,15.5,77.2
20,35.1,45,14.8,82.6
23,35.1,45,14.8,82.6
24,35.1,45,14.8,82.6
25,35.1,45,14.8,82.6
26,35.1,45,14.8,82.6
27,35.1,45,14.8,82.6
28,35.1,45,14.8,82.6
29,35.1,45,14.8,82.6
20,38.1,48,18.2,85.6
21,38.1,48,18.2,85.6
22,38.1,48,18.2,85.6
23,38.1,48,18.2,85.6
24,38.1,48,18.2,85.6
25,38.1,48,18.2,85.6
26,38.1,48,18.2,85.6
27,38.1,48,18.2,85.6
28,38.1,48,18.2,85.6
29,38.1,48,18.2,85.6
20,35.2,45.1,15.3,77.5
21,35.2,45.1,15.3,77.5
22,35.2,45.1,15.3,77.5
23,35.2,45.1,15.3,77.5
24,35.2,45.1,15.3,77.5
25,35.2,45.1,15.3,77.5
26,35.2,45.1,15.3,77.5
27,35.2,45.1,15.3,77.5
28,35.2,45.1,15.3,77.5
29,35.2,45.1,15.3,77.5
27,29,38.9,9.1,76.5
28,29,38.9,9.1,76.5
29,29,38.9,9.1,76.5
23,35.2,45.1,14.9,82.7
24,35.2,45.1,14.9,82.7
25,35.2,45.1,14.9,82.7
26,35.2,45.1,14.9,82.7
27,35.2,45.1,14.9,82.7
28,35.2,45.1,14.9,82.7
29,35.2,45.1,14.9,82.7
20,38.2,48.1,18.3,85.7
21,38.2,48.1,18.3,85.7
22,38.2,48.1,18.3,85.7
23,38.2,48.1,18.3,85.7
24,38.2,48.1,18.3,85.7
25,38.2,48.1,18.3,85.7
26,38.2,48.1,18.3,85.7
27,38.2,48.1,18.3,85.7
28,38.2,48.1,18.3,85.7
29,38.2,48.1,18.3,85.7
20,34.7,44.6,14.4,82.2
23,34.7,44.6,14.4,82.2
24,34.7,44.6,14.4,82.2
25,34.7,44.6,14.4,82.2
26,34.7,44.6,14.4,82.2
27,34.7,44.6,14.4,82.2
28,34.7,44.6,14.4,82.2
29,34.7,44.6,14.4,82.2
24,25.7,35.6,2.5,69.5
25,25.7,35.6,2.5,69.5
26,25.7,35.6,2.5,69.5
27,25.7,35.6,2.5,69.5
28,25.7,35.6,2.5,69.5
29,25.7,35.6,2.5,69.5
26,25.5,35.4,2.1,69.7
27,25.5,35.4,2.1,69.7
28,25.5,35.4,2.1,69.7
29,25.5,35.4,2.1,69.7
27,27,36.9,6.4,74
28,27,36.9,6.4,74
29,27,36.9,6.4,74
20,37.1,47,17.2,75.8
21,37.1,47,17.2,75.8
22,37.1,47,17.2,75.8
23,37.1,47,17.2,75.8
24,37.1,47,17.2,75.8
25,37.1,47,17.2,75.8
26,37.1,47,17.2,75.8
27,37.1,47,17.2,75.8
28,37.1,47,17.2,75.8
29,37.1,47,17.2,75.8
22,37.5,47.4,17.5,84.9
23,37.5,47.4,17.5,84.9
24,37.5,47.4,17.5,84.9
25,37.5,47.4,17.5,84.9
26,37.5,47.4,17.5,84.9
27,37.5,47.4,17.5,84.9
28,37.5,47.4,17.5,84.9
29,37.5,47.4,17.5,84.9
24,38.3,48.2,18.4,74.1
26,38.3,48.2,18.4,74.1
27,38.3,48.2,18.4,74.1
28,38.3,48.2,18.4,74.1
29,38.3,48.2,18.4,74.1
22,38.2,48.1,18.3,74.6
23,38.2,48.1,18.3,74.6
24,38.2,48.1,18.3,74.6
25,38.2,48.1,18.3,74.6
26,38.2,48.1,18.3,74.6
27,38.2,48.1,18.3,74.6
28,38.2,48.1,18.3,74.6
29,38.2,48.1,18.3,74.6
21,36.8,46.7,16.9,84.2
