Time,Airport,Altamount,Vashi,Virar,Malls
25,28.7,38.6,7,76.2,5
26,28.7,38.6,7,76.2,5
26,31.5,41.4,10.2,78.9,2
24,40.9,50.8,21,88.4,3
26,40.9,50.8,21,88.4,3
1,23.4,34.3,2.9,73.4,4
2,23.4,34.3,2.9,73.4,4
3,23.4,34.3,2.9,73.4,4
4,23.4,34.3,2.9,73.4,4
5,23.4,34.3,2.9,73.4,4
6,23.4,34.3,2.9,73.4,4
7,23.4,34.3,2.9,73.4,4
8,23.4,34.3,2.9,73.4,4
9,23.4,34.3,2.9,73.4,4
10,23.4,34.3,2.9,73.4,4
11,23.4,34.3,2.9,73.4,4
12,23.4,34.3,2.9,73.4,4
13,23.4,34.3,2.9,73.4,4
14,23.4,34.3,2.9,73.4,4
15,23.4,34.3,2.9,73.4,4
16,23.4,34.3,2.9,73.4,4
17,23.4,34.3,2.9,73.4,4
18,23.4,34.3,2.9,73.4,4
19,23.4,34.3,2.9,73.4,4
23,23.4,34.3,2.9,73.4,4
24,23.4,34.3,2.9,73.4,4
25,23.4,34.3,2.9,73.4,4
26,23.4,34.3,2.9,73.4,4
0,43.9,53.8,22.4,89.7,4
1,43.9,53.8,22.4,89.7,4
2,43.9,53.8,22.4,89.7,4
3,43.9,53.8,22.4,89.7,4
4,43.9,53.8,22.4,89.7,4
5,43.9,53.8,22.4,89.7,4
6,43.9,53.8,22.4,89.7,4
7,43.9,53.8,22.4,89.7,4
8,43.9,53.8,22.4,89.7,4
9,43.9,53.8,22.4,89.7,4
10,43.9,53.8,22.4,89.7,4
11,43.9,53.8,22.4,89.7,4
12,43.9,53.8,22.4,89.7,4
13,43.9,53.8,22.4,89.7,4
14,43.9,53.8,22.4,89.7,4
15,43.9,53.8,22.4,89.7,4
16,43.9,53.8,22.4,89.7,4
17,43.9,53.8,22.4,89.7,4
18,43.9,53.8,22.4,89.7,4
19,43.9,53.8,22.4,89.7,4
21,43.9,53.8,22.4,89.7,4
22,43.9,53.8,22.4,89.7,4
23,43.9,53.8,22.4,89.7,4
24,43.9,53.8,22.4,89.7,4
25,43.9,53.8,22.4,89.7,4
26,43.9,53.8,22.4,89.7,4
23,40.2,50.1,20.3,74.2,1
24,40.2,50.1,20.3,74.2,1
7,37.1,47,17.2,78.2,0
9,37.1,47,17.2,78.2,0
10,37.1,47,17.2,78.2,0
11,37.1,47,17.2,78.2,0
12,37.1,47,17.2,78.2,0
13,37.1,47,17.2,78.2,0
14,37.1,47,17.2,78.2,0
15,37.1,47,17.2,78.2,0
16,37.1,47,17.2,78.2,0
17,37.1,47,17.2,78.2,0
18,37.1,47,17.2,78.2,0
19,37.1,47,17.2,78.2,0
20,37.1,47,17.2,78.2,0
21,37.1,47,17.2,78.2,0
22,37.1,47,17.2,78.2,0
23,37.1,47,17.2,78.2,0
24,37.1,47,17.2,78.2,0
25,37.1,47,17.2,78.2,0
26,37.1,47,17.2,78.2,0
0,23.9,33.8,4.1,72.3,1
1,23.9,33.8,4.1,72.3,1
2,23.9,33.8,4.1,72.3,1
3,23.9,33.8,4.1,72.3,1
4,23.9,33.8,4.1,72.3,1
5,23.9,33.8,4.1,72.3,1
6,23.9,33.8,4.1,72.3,1
7,23.9,33.8,4.1,72.3,1
8,23.9,33.8,4.1,72.3,1
9,23.9,33.8,4.1,72.3,1
10,23.9,33.8,4.1,72.3,1
11,23.9,33.8,4.1,72.3,1
12,23.9,33.8,4.1,72.3,1
13,23.9,33.8,4.1,72.3,1
14,23.9,33.8,4.1,72.3,1
15,23.9,33.8,4.1,72.3,1
16,23.9,33.8,4.1,72.3,1
