Bias,Time,Airport,Altamount,Vashi,Virar,Malls
1,29,9.8,8.9,21.4,69.1,3
1,27,12.2,8.5,22.1,70.3,2
1,28,12.2,8.5,22.1,70.3,2
1,29,12.2,8.5,22.1,70.3,2
1,27,9.7,8.8,22.1,67.8,2
1,28,9.7,8.8,22.1,67.8,2
1,29,9.7,8.8,22.1,67.8,2
1,27,13,7.2,24,72.3,3
1,28,13,7.2,24,72.3,3
1,29,13,7.2,24,72.3,3
1,27,16.8,3.3,31.9,73.9,3
1,28,16.8,3.3,31.9,73.9,3
1,29,16.8,3.3,31.9,73.9,3
1,27,20,2.3,30.5,78.1,1
1,28,20,2.3,30.5,78.1,1
1,29,20,2.3,30.5,78.1,1
1,27,9.6,12.4,19.4,67.7,1
1,28,9.6,12.4,19.4,67.7,1
1,29,9.6,12.4,19.4,67.7,1
1,27,9.6,12.4,19.4,67.7,0
1,28,9.6,12.4,19.4,67.7,0
1,29,9.6,12.4,19.4,67.7,0
1,27,9.6,12.4,19.4,67.7,1
1,28,9.6,12.4,19.4,67.7,1
1,29,9.6,12.4,19.4,67.7,1
1,27,19.4,1.9,30.1,77.5,1
1,28,19.4,1.9,30.1,77.5,1
1,29,19.4,1.9,30.1,77.5,1
1,27,13,7.2,24,72.3,2
1,28,13,7.2,24,72.3,2
1,29,13,7.2,24,72.3,2
1,27,13.3,8.9,21.2,71.5,0
1,28,13.3,8.9,21.2,71.5,0
1,29,13.3,8.9,21.2,71.5,0
1,27,19.1,0.5,29.6,77.3,0
1,28,19.1,0.5,29.6,77.3,0
1,29,19.1,0.5,29.6,77.3,0
1,27,11,7.4,24.2,69.2,0
1,28,11,7.4,24.2,69.2,0
1,29,11,7.4,24.2,69.2,0
1,27,9,9.2,21.4,67.1,0
1,28,9,9.2,21.4,67.1,0
1,29,9,9.2,21.4,67.1,0
1,27,15.4,5.5,26.5,73.5,2
1,28,15.4,5.5,26.5,73.5,2
1,29,15.4,5.5,26.5,73.5,2
1,27,14.8,5.6,25.9,73,2
1,28,14.8,5.6,25.9,73,2
1,29,14.8,5.6,25.9,73,2
1,27,7.8,14.4,23.3,63.9,2
1,28,7.8,14.4,23.3,63.9,2
1,29,7.8,14.4,23.3,63.9,2
1,27,7.8,14.4,23.3,63.9,2
1,28,7.8,14.4,23.3,63.9,2
1,29,7.8,14.4,23.3,63.9,2
1,27,6.5,16.9,17.3,66.9,1
1,28,6.5,16.9,17.3,66.9,1
1,29,6.5,16.9,17.3,66.9,1
1,27,8.7,26.5,37.6,48.4,2
1,28,8.7,26.5,37.6,48.4,2
1,29,8.7,26.5,37.6,48.4,2
1,27,4,22.8,27.2,60.1,1
1,28,4,22.8,27.2,60.1,1
1,29,4,22.8,27.2,60.1,1
1,29,4.7,23.5,27.4,59.3,1
